;geneName;Hugo_Symbol;Seqname;start;end;sample;fold_change;mean_expression
0;400818;NBPF9;chr1;149071604;149071676;TCGA-CH-5764;2.0033983399930864;16.94331671911879
0;7273;TTN;chr2;178547407;178549473;TCGA-CH-5772;2.074124576950565;inf
0;3127;HLA-DRB5;chr6;32518054;32518077;TCGA-EJ-A46E;4.273409898942742;119.47622621242803
0;54952;TRNAU1AP;chr1;28553308;28553639;TCGA-CH-5764;2.0056428273145883;2.059206613508016
0;3312;HSPA8;chr11;123060269;123060426;TCGA-CH-5772;2.635442980917276;15.818253878119709
0;3312;HSPA8;chr11;123060269;123060426;TCGA-CH-5772;2.635442980917276;15.818253878119709
0;3312;HSPA8;chr11;123060269;123060426;TCGA-CH-5772;2.635442980917276;15.818253878119709
0;283316;CD163L1;chr12;7373320;7373640;TCGA-CH-5772;inf;inf
0;283316;CD163L1;chr12;7373320;7373640;TCGA-CH-5772;inf;inf
0;84033;OBSCN;chr1;228214790;228215098;TCGA-CH-5763;2.051810016958428;4.893142643775834
0;23224;SYNE2;chr14;64209428;64209578;TCGA-XK-AAK1;2.7587850312821107;308.6270190594144
0;23352;UBR4;chr1;19192188;19192378;TCGA-CH-5772;2.0256398832677056;35.131873250946086
0;23352;UBR4;chr1;19197670;19197811;TCGA-CH-5764;2.357049056103908;29.02513568808908
0;2074;ERCC6;chr10;49472471;49472908;TCGA-XK-AAK1;2.186816198942109;7.645510698818053
0;43849;KLK12;chr19;51031876;51032135;TCGA-EJ-A46B;2.4711387464322647;20.76480273344186
0;102723316;FRG1DP;chr20;29096728;29096832;TCGA-CH-5772;inf;inf
0;102723316;FRG1DP;chr20;29101440;29101550;TCGA-EJ-A46E;2.575850136287048;inf
0;102723316;FRG1DP;chr20;29101440;29101550;TCGA-XK-AAK1;2.6014838298369267;inf
0;102723390;FRG1EP;chr20;29481358;29481468;TCGA-CH-5764;inf;inf
0;102723390;FRG1EP;chr20;29481358;29481468;TCGA-CH-5772;inf;inf
0;11122;PTPRT;chr20;42161352;42161539;TCGA-CH-5772;inf;inf
0;58515;SELENOK;chr3;53887996;53888392;TCGA-HC-7748;2.4048084053326826;6.675078199741302
0;10535;RNASEH2A;chr19;12807330;12807418;TCGA-CH-5763;2.1004150371546397;1.2866595584937177
0;10535;RNASEH2A;chr19;12807330;12807418;TCGA-CH-5763;2.1004150371546397;1.2866595584937177
0;59342;SCPEP1;chr17;56995636;56995875;TCGA-EJ-A46E;2.3421007417651616;4.331755235711439
0;4035;LRP1;chr12;57211487;57211588;TCGA-XK-AAK1;2.7568334328973236;901.8274747278771
0;79400;NOX5;chr15;69038857;69038989;TCGA-XK-AAK1;inf;inf
0;79400;NOX5;chr15;69038857;69038989;TCGA-XK-AAK1;inf;inf
