;seqnames;start;end;width;strand;type;splice5p;splice3p;featureID;geneID;txName;geneName;TCGA-EJ-A46B;TCGA-XK-AAJ3;TCGA-CH-5772;TCGA-EJ-A46E;TCGA-XK-AAK1;TCGA-CH-5764;TCGA-CH-5763;TCGA-HC-8259;TCGA-EJ-A46H;TCGA-HC-7748
93977;chr6;36200297;36200297;1;+;A;;;10;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000446974.1,ENST00000454960.1;27154;-0.7;0.30000000000000004;-0.7;-0.7;0.30000000000000004;-0.7;1.3;-0.7;0.30000000000000004;1.3
93978;chr6;36200297;36201770;1474;+;E;True;True;11;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5;27154;-117.43847822809596;-41.300902759205655;30.925203762389515;-133.0303366119934;-122.39574808151912;116.63608231093406;104.2807789415125;13.215060574111135;-0.3375591946132772;149.445899286481
93980;chr6;36201770;36204658;2889;+;J;;;13;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-17.536461703242843;-4.8436118348395105;-6.076903210366982;-11.839484690718887;22.83033825261547;4.076974959658926;12.020995961815558;-0.5996023569373783;-3.624448017649293;5.592202639664862
93981;chr6;36204414;36204657;244;+;E;False;False;14;1.0;ENST00000527657.1;27154;-1.1650544458876682;-0.15811663290507716;-1.1650544458876682;3.920540140510585;-1.1650544458876682;2.486428558788078;-0.327457043642821;-1.1650544458876682;-1.1650544458876682;-0.09612279331242446
93982;chr6;36204658;36204658;1;+;A;;;15;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-0.6;-0.6;-0.6;2.4;-0.6;-0.6;0.4;-0.6;-0.6;1.4
93983;chr6;36204658;36204814;157;+;E;False;True;16;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1,ENST00000527657.1;27154;-35.97406887129591;-11.786151641929038;1.9824297404367996;-18.030161215232894;-13.572598730924497;19.764459050526398;18.835309498627367;3.1958617016031923;10.826902556370186;24.758017911818428
93985;chr6;36204814;36207313;2500;+;J;;;18;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1,ENST00000527657.1;27154;-20.11252545763416;-7.569398206167371;5.288852336634378;-9.955484313487545;1.7849442805152975;-3.153641696953933;7.734837034598463;4.7153706295636155;20.975700228692695;0.2913451642385212
93987;chr6;36207313;36207444;132;+;E;True;True;20;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-29.03544674442243;-3.4769522377840474;-4.348537365055762;-13.219791395784313;-4.431048070170533;7.426099558072863;11.889310600183492;10.466807014086854;12.401778425715676;12.327780215158285
93989;chr6;36207444;36209787;2344;+;J;;;22;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-9.383027034873518;-2.4922829094799006;2.769931776917794;-2.0090398727548227;-17.377539545766943;2.6990213628564703;1.3649930838105213;3.6083139409857843;9.216786064298102;11.602843134006523
93990;chr6;36209787;36209787;1;+;A;;;23;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-0.6;1.4;-0.6;-0.6;-0.6;-0.6;1.4;-0.6;0.4;0.4
93991;chr6;36209787;36209915;129;+;E;True;True;24;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-9.432774688327825;-10.858786255103908;-7.781756573225238;-4.541525926868019;9.33281198514402;9.322639848191244;13.9268070240702;-0.23026655218804137;-11.93267764868716;12.195528786994657
93992;chr6;36209915;36209915;1;+;D;;;25;1.0;ENST00000532330.5,ENST00000441123.1,ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000534400.5;27154;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;6.0
93993;chr6;36209915;36210201;287;+;J;;;26;1.0;ENST00000532330.5,ENST00000441123.1;27154;0.5583795156479088;-0.9395474029800495;-2.9824350020130046;-1.9988251713337162;11.033197222463336;-3.0398221188670105;1.1825722490042097;-4.156996097812134;1.0119640926496176;-0.6684872867591567
93994;chr6;36209915;36210216;302;+;J;;;27;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000534400.5;27154;-1.0893197172634572;3.574473687471013;2.6321158829169526;0.3734424586841314;-4.375700229321216;1.8860833638148797;0.5660779949115486;-1.0893197172634572;-6.187857469531842;3.71000374558146
93996;chr6;36210201;36210215;15;+;E;True;False;29;1.0;ENST00000532330.5,ENST00000441123.1;27154;0.1539787681207585;-1.6570819807289254;-3.965125306310886;4.486355940137217;8.06312303634973;-2.9462209791524794;1.8535433875443346;-5.128902923077711;0.549436679476285;-1.4091066223583146
93997;chr6;36210216;36210216;1;+;A;;;30;1.0;ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000534400.5;27154;0.0;-1.0;-2.0;4.0;-2.0;-1.0;0.0;-1.0;3.0;0.0
93998;chr6;36210216;36210528;313;+;E;False;True;31;1.0;ENST00000532330.5,ENST00000441123.1,ENST00000357641.10,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5,ENST00000534400.5;27154;3.8909581791167227;-14.393917896116022;-20.979124030238808;2.390031507637673;-34.82900528791902;12.575206634437961;-6.291083416983724;13.019039532181921;19.515417549850696;25.102477228032512
93999;chr6;36210528;36210528;1;+;D;;;32;1.0;ENST00000357641.10,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1,ENST00000339717.11,ENST00000449261.6,ENST00000534694.5;27154;-1.7;0.30000000000000004;0.30000000000000004;-1.7;-1.7;0.30000000000000004;1.3;-0.7;1.3;2.3
94000;chr6;36210528;36211258;731;+;J;;;33;1.0;ENST00000357641.10,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-0.12982080877499058;-6.890431599883591;-7.687322618950944;12.32268692541701;-12.94318470312957;0.09686653482867413;-6.5221661591276145;9.397162573521832;12.334608492350014;0.021601363749176983
94003;chr6;36211201;36211257;57;+;E;False;False;36;1.0;ENST00000532538.1,ENST00000441730.2;27154;-1.1297630289233611;1.5694012356775748;1.6938359498098294;0.3489081105633094;-3.4652878292353804;-0.7266755757285703;-2.627690426990533;2.0940152665804024;2.768982082900194;-0.52572578465346
94004;chr6;36211258;36211258;1;+;A;;;37;1.0;ENST00000357641.10,ENST00000532330.5,ENST00000534400.5,ENST00000441123.1;27154;-1.6;2.4;-1.6;0.3999999999999999;-2.6;-1.6;-2.6;0.3999999999999999;0.3999999999999999;6.4
